기업명,기업구분,모집분야,모집인원,고용형태,직급/직책,급여,근무시간,근무지주소,경력,학력,우대조건,스킬,핵심역량,기업URL,domain_id,domain_name,_matched_master_skills
㈜링크프라이스,,모집분야 브랜드퍼포먼스마케터,○○명,정규직 | (수습 3개월),팀원,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:30 ~ 18:30,"서울 금천구 가산디지털1로 205-28 (가산동) 대신IT타워 6,7,8층 링크프라이스 | 지도보기",(1년이상),초대졸이상,"컴퓨터활용능력 우수자, 통계분석·리서치 능숙자, 프리젠테이션 능력우수자, 엑셀 고급능력 보유자, 문서작성 우수자, 포토샵 능숙자, 유관업무 경력자(1년), 즉시출근 가능자","Google Analytics, Cafe24, Microsoft Office, 컴퓨터활용능력","계획성, | 성실성, | 꼼꼼함, | 적응성, | 성취지향성",https://www.jobkorea.co.kr/Recruit/GI_Read/48379630?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
㈜웰시트리,,모집분야 마케터&AE,○명,정규직 | (수습 3개월),,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,서울 강남구 도산대로8길 17-8 (논현동) 5층 | 지도보기,,학력무관,"공모전 입상자, 고용촉진지원금 대상자, 유관업무 경험자(인턴·알바), 야간근무 가능자, 포토샵 능숙자, 관련 학과 전공자, 관련 자격증 보유자, 즉시출근 가능자, 장기근무 가능자","Google Analytics, Illustrator, Photoshop","성실성, | 꼼꼼함, | 윤리의식, | 적응성, | 메타인지, | 성장지향성, | 창의성, | 협동심, | 자존감, | 스트레스관리, | 성취지향성, | 계획성",https://www.jobkorea.co.kr/Recruit/GI_Read/48378185?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
㈜엠지엠(MGM),,"모집분야 홈페이지,블로그, SNS 제작관리 웹디자이너",○○명,정규직 | (수습 3개월),,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00 | 탄력근무제,경기 고양시 일산동구 중산동 1681 대방 트리플라온 비즈니스 타워 A동 502호 | 지도보기,(3년이상),초대졸이상,,"CSS, HTML, Javascript, Figma, Photoshop",,https://www.jobkorea.co.kr/Recruit/GI_Read/48368673?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,"CSS, HTML, JavaScript"
인지컴퍼니,,모집분야 온라인 마케팅,○명,정규직 | (협의),"면접 후 결정 | 파트장/그룹장, 본부장/센터장",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00 | 탄력근무제,"서울 성동구 연무장5가길 25 (성수동2가) 성수역 SK V1 Tower 911호, 912호 | 지도보기",,학력무관,"유관업무 경력자, 즉시출근 가능자",Google Analytics,"성취지향성, | 꼼꼼함, | 성장지향성, | 계획성, | 성실성",https://www.jobkorea.co.kr/Recruit/GI_Read/48368526?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
퍼포먼스디자인㈜,,모집분야 디지털 광고 AE,1명,정규직 | (수습 3개월),주임~대리급,회사 내규에 따름 (면접 후 결정),"주5일(월~금) | 09:00 ~ 18:00, 10:00 ~ 19:00 | 탄력근무제","서울 금천구 가산디지털1로 181 (가산동, 가산더블유센터) 1411~1414호 | 지도보기",(2년이상),학력무관,,"Google Analytics, Excel, PowerPoint",,https://www.jobkorea.co.kr/Recruit/GI_Read/48365889?rPageCode=SL&logpath=21&sn=6&sc=611,10005,미디어광고업,Google Analytics
㈜매치스플랜,,"모집분야 웹/콘텐츠, UIUX 디자인",○명,프리랜서,,"시급 14,000원 (면접 후 결정)",주5일(월~금) | 09:00 ~ 18:00,서울 마포구 잔다리로7안길 27 (서교동) 3층 매치스플랜 | 지도보기,(3년이상),학력무관,,"HTML, Figma, Illustrator, InDesign, Photoshop",,https://www.jobkorea.co.kr/Recruit/GI_Read/48690586?rPageCode=SL&logpath=21&sn=6&sc=612,10006,문화예술디자인업,HTML
띵크온 (Think on),,모집분야 시각디자이너,○명,정규직 | (수습 3개월),"팀원, 팀장/매니저/실장",월급 300만원 이상 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00 | 탄력근무제,"대구 북구 칠곡중앙대로 471 (관음동) 3 ,4층 | 지도보기",,대졸이상,"인근거주자, 포토샵 능숙자, 관련 학과 전공자, 관련 자격증 보유자 | 시각디자인산업기사, 웹디자인기능사, GTQ 인디자인 1급 | 산업디자인학과, 시각디자인과","HTML, Figma, InDesign, Photoshop, 애프터이펙트","성실성, | 성장지향성, | 꼼꼼함, | 적응성, | 창의성, | 계획성",https://www.jobkorea.co.kr/Recruit/GI_Read/48679407?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,HTML
이어닝(yearning),,모집분야 상품기획 MD,○명,정규직 | (협의),"주임~대리급, 과장~차장급","연봉 4,000~6,000만원 (면접 후 결정)",주5일(월~금) | 10:30 ~ 19:30 | 탄력근무제,"서울 종로구 지봉로 81 (창신동, 브라운스톤 창신) 207호 | 지도보기",신입·경력,학력무관,"인근거주자, 유관업무 경험자(인턴·알바), 엑셀 고급능력 보유자, 문서작성 우수자, 포토샵 능숙자","Google Analytics, Illustrator, Photoshop, Cafe24, EzAdmin","계획성, | 창의성, | 성실성, | 성취지향성, | 꼼꼼함",https://www.jobkorea.co.kr/Recruit/GI_Read/48678376?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,Google Analytics
㈜아모텍,,"모집분야 MLCC설계_인천(남동), MLCC개발_인천(남동), EMC 양산개발__인천(남동), ANTENNA 개발_인천(검단), MOTOR개발_평택(포승), S/W 개발_서울, 소재개발_김포, 소재개발_인천(검단), 신제품 연구 및 개발_천안), 기구설계_천안, 기구설계_김포(하성), 기구설계_서울, 공정개발_천안, 공정개발_김포, 양산개발_김포(하성), MES개발_천안, 제조기술_천안, 구매_천안, 생산관리_천안, 품질관리_평택(포승), 품질관리_천안, 국내영업_수원, 국내영업_인천(검단), 국내영업_평택(포승), 해외영업_서울, 해외영업_인천(남동), 해외영업_인천(검단), 해외영업_평택(포승), 해외영업_천안, 영업관리_서울, 기획_서울, IR_서울, 총무_김포(하성), 원가_인천(남동), 자금_인천(남동)",○○명,정규직,,회사 내규에 따름,,서울 서초구 잠원동 17-2 하이웨이빌딩 3층 | 지도보기,신입·경력 | (직무별 상이(상세요강 참고)),초대졸이상 | (직무별 상이),"장애인, 영어가능자, 중국어가능자, 영어능통자(원어민수준), 유관업무 경험자(인턴·알바), 보훈대상자, 엑셀 고급능력 보유자, 관련 학과 전공자, 관련 자격증 보유자, 유관업무 경력자 | 전기기사, 가스산업기사, 품질경영기사 | 회계전공, 상경계열, 화학공학","Python, AutoCAD, CATIA, ERP, 영어, 중국어, CAN, DBMS, HFSS, MES, Microsoft Office, SPI, 대기환경기사 자격, 산업안전기사 자격, 소방설비기사 자격, 수질환경기사 자격, 운전면허, 임베디드 소프트웨어",,https://www.jobkorea.co.kr/Recruit/GI_Read/48671018?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,"Python, CAN, DBMS, Embedded"
㈜조이엘,,모집분야 디지털 플랫폼 개발 총괄,1명,정규직 | (수습 3개월),"주임~대리급, 과장~차장급 | 팀원, 팀장/매니저/실장",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,"서울 구로구 디지털로31길 41 (구로동, 이앤씨벤처드림타워6차) 611호 | 지도보기",(5년이상),학력무관,소프트웨어개발전공,"API, AWS, Node.js, React, SaaS, Next.js","계획성, | 성실성, | 성취지향성, | 꼼꼼함, | 적응성, | 창의성, | 협동심",https://www.jobkorea.co.kr/Recruit/GI_Read/48655136?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,"API, AWS, Node.js, React, SaaS, Next.js"
갤러리티,,모집분야 갤러리티 동탄점 큐레이터 경력직 모집,2명,"정규직 | (수습 3개월) | , | 계약직 | (근무기간 6개월, 정규직 전환 가능)","사원급, 주임~대리급 | 팀원","연봉 3,000~4,000만원 (면접 후 결정)",주5일(수~일) | 10:30 ~ 20:00,"경기 화성시 동탄역로 151 (오산동, 동탄역사) 롯데백화점 동탄점 1층 갤러리티 매장 | 지도보기",(2년이상),대졸이상,"컴퓨터활용능력 우수자, 운전가능자, 프리젠테이션 능력우수자, 문서작성 우수자, 포토샵 능숙자, 유관업무 경력자(1년)","Photoshop, 컴퓨터활용능력, Canva, Adobe, gemini pro","계획성, | 성실성, | 성취지향성, | 윤리의식, | 협동심, | 성장지향성",https://www.jobkorea.co.kr/Recruit/GI_Read/48644735?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,CAN
아이코닉무브먼트,,모집분야 MD,1명,"정규직 | (수습 3개월) | , | 계약직 | (근무기간 3개월)",,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,"서울 성동구 아차산로9길 21 (성수동2가, 이레타워) 2층 | 지도보기",(3년이상),학력무관,,"Google Analytics, Excel, Cafe24, google spreadsheet","성취지향성, | 꼼꼼함, | 적응성, | 협동심, | 성장지향성",https://www.jobkorea.co.kr/Recruit/GI_Read/48638753?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,Google Analytics
㈜헤루,,모집분야 프론트 개발,○명,프리랜서 | (근무기간 3개월),,"건별 250,000원",협의가능 | 09:00 ~ 18:00 | 탄력근무제 | 작업가능 시간 상호 협의,"서울 동대문구 청계천로 471 (용두동, 청계천대성스카이렉스2) 오피스동 18층 | 지도보기",(6년이상),학력무관,"포토샵 능숙자, 유관업무 경력자","CSS, HTML, Javascript, Adobe XD, Figma","성실성, | 성취지향성, | 꼼꼼함, | 적응성, | 계획성",https://www.jobkorea.co.kr/Recruit/GI_Read/48628977?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,"CSS, HTML, JavaScript"
㈜텍스타일디자인뱅크(Textile,,모집분야 IT 개발 웹 개발자,1명,"정규직 | (수습 3개월) | , | 계약직 | (근무기간 3개월, 정규직 전환 가능)",과장~차장급,"연봉 4,500만원 이상 (면접 후 결정)",주5일(월~금) | 09:00 ~ 18:00,서울 강남구 역삼로 217 (역삼동) 4층 402호 | 지도보기,(5년이상),학력무관,,"AWS, Git, Node.js, 인공지능(AI)",,https://www.jobkorea.co.kr/Recruit/GI_Read/48620840?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,"AWS, Git, Node.js"
동양당(솔앤솔SOLNSOL),,모집분야 주얼리 자사몰 관리자 카페24 MD,1명,정규직 | (수습 3개월),"사원급, 주임~대리급 | 팀원",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,"경기 남양주시 와부읍 덕소로 73 (덕소리, 세양아르비채리버) 206호 solnsol office | 지도보기",(1년이상),학력무관,,"Google Analytics, Illustrator, Photoshop",,https://www.jobkorea.co.kr/Recruit/GI_Read/48620484?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,Google Analytics
㈜스펙트럼비즈,,모집분야 해외 온라인몰-그래픽/웹디자이너 외국인도 지원,1명,정규직 | (수습 1개월),"사원급, 주임~대리급 | 팀원","연봉 3,700만원 이상 (면접 후 결정)",주5일(월~금) | 09:00 ~ 18:00,"경기 고양시 덕양구 통일로 140 (동산동, 삼송테크노밸리) 삼송테크노밸리 A동 234호 (주)스펙트럼비즈 | 지도보기",경력무관,초대졸이상,"영어가능자, 일본어가능자, 컴퓨터활용능력 우수자, 통계분석·리서치 능숙자, 포토샵 능숙자, 장기근무 가능자 | 미술학과, 사진학과","HTML, 3ds Max, CAD, Figma, Cinema4D, Illustrator, Photoshop, Shopify","성실성, | 창의성, | 협동심, | 성장지향성, | 윤리의식, | 계획성",https://www.jobkorea.co.kr/Recruit/GI_Read/48619246?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,HTML
퀸스래빗㈜,,모집분야 SNS 컨텐츠 기획,1명,정규직,사원급,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 10:00 ~ 19:00,"서울 중구 다산로 221-1 (신당동, 새마을금고회관) 5층 | 지도보기",경력무관,학력무관,"포토샵 능숙자, 관련 자격증 보유자, 즉시출근 가능자, 장기근무 가능자","Google Analytics, Excel, Photoshop, 프리미어","창의성, | 협동심, | 메타인지, | 계획성, | 성실성, | 성취지향성, | 스트레스관리",https://www.jobkorea.co.kr/Recruit/GI_Read/48617235?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,Google Analytics
하스,,모집분야 온라인 아동복 브랜드,1명,정규직 | (수습 3개월),주임~대리급 | 팀원,"연봉 3,000만원 이상 (면접 후 결정)",주5일(월~금) | 09:00 ~ 18:00 | OR 10:00 ~ 19:00,"서울 강북구 도봉로 129 (미아동, 동진빌딩) 301호 | 지도보기",(3년이상),초대졸이상,,"Google Analytics, Notion, Illustrator, Photoshop, Cafe24, Microsoft Office",,https://www.jobkorea.co.kr/Recruit/GI_Read/48614986?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,Google Analytics
㈜지일,,모집분야 영상H/W팀장,1명,"정규직 | , | 프리랜서 | (협의)",과장~차장급,"연봉 4,000~6,000만원 (면접 후 결정)",주5일(월~금) | 09:00 ~ 18:00,경기 남양주시 다산순환로 20 (다산동) E-7-30 | 지도보기,(5년이상),학력무관,,"API, AR","계획성, | 성실성, | 성취지향성, | 메타인지, | 성장지향성",https://www.jobkorea.co.kr/Recruit/GI_Read/48604469?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,API
㈜라이브러리컴퍼니,,모집분야 플랫폼팀 - 프론트엔드 개발자,1명,"계약직 | (근무기간 3개월, 정규직 전환 가능)",,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,"서울 서초구 남부순환로 2469 (서초동, 도요빌딩) | 지도보기",(1년이상),학력무관,,"CSS, Git, Javascript, Jira, RestAPI, TypeScript, Figma, React Native, Next.js, Slack",,https://www.jobkorea.co.kr/Recruit/GI_Read/48602202?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,"CSS, Git, JavaScript, TypeScript, React Native, Next.js"
아이코닉무브먼트,,모집분야 퍼포먼스 마케터,1명,"정규직 | (수습 3개월) | , | 계약직 | (근무기간 3개월, 정규직 전환 가능)",,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00 | 8~10시 사이 출근,"서울 성동구 아차산로9길 21 (성수동2가, 이레타워) 2층 | 지도보기",(3년이상),학력무관,,"Google Analytics, 데이터분석, 네이버검색광고, Google Ads, cro, Google Tag Manager, Meta Ads, 광고 성과 리포팅, 이벤트 트래킹","창의성, | 협동심, | 성장지향성, | 계획성, | 성실성, | 성취지향성, | 꼼꼼함, | 적응성",https://www.jobkorea.co.kr/Recruit/GI_Read/48590828?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,Google Analytics
오로라월드㈜,,모집분야 경영기획 담당자,○명,정규직 | (수습 3개월),주임~대리급 | 팀원,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00 | 탄력근무제,"서울 강남구 테헤란로 624 (대치동, 오로라빌딩) | 지도보기",(3년이상),대졸이상,,"Tableau, 비즈니스영어, 관리회계",,https://www.jobkorea.co.kr/Recruit/GI_Read/48589183?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,Tableau
㈜브이웍스,,모집분야 팀처럼 함께하실 웹 퍼블리셔 모집합니다,2명,정규직 | (수습 3개월),사원급 | 팀원,"연봉 2,800만원 이상",주5일(월~금) | 10:00 ~ 19:00 | 탄력근무제,대전 유성구 유성대로821번길 4-15 (장대동) 1~6F | 지도보기,경력무관,학력무관,"인근거주자, 관련 학과 전공자, 유관업무 경력자","CSS, HTML, HTML5, Javascript, Jquery, PHP","꼼꼼함, | 창의성, | 메타인지, | 성장지향성, | 계획성",https://www.jobkorea.co.kr/Recruit/GI_Read/48587533?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,"CSS, HTML, JavaScript, jQuery, PHP"
㈜사일로랩,,모집분야 미디어 응용프로그램 개발자,○명,정규직 | (수습 3개월),"주임~대리급, 과장~차장급 | 팀원",회사 내규에 따름 (면접 후 결정),"주5일(월~금) | 09:00 ~ 18:00 | 탄력근무제 | 오전 8~10시 사이 자율출퇴근제, 코어타임 11~15시","서울 성동구 연무장길 76 (성수동2가, 성수AK밸리) 601, 602, 1107, 1108호 | 지도보기",(4년이상),초대졸이상,"인근거주자, 컴퓨터활용능력 우수자, 차량소지자, 운전가능자, MAC(맥킨토시)능숙자, 문서작성 우수자, 관련 학과 전공자, 관련 자격증 보유자, 유관업무 경력자(4년), 즉시출근 가능자, 장기근무 가능자 | 컴퓨터공학과, 컴퓨터공학전공, 컴퓨터공학부(컴퓨터공학전공)","C, C#, C++, iOS, AV Foundation, CoreMedia, CoreVideo, CoreGraphics","성실성, | 성취지향성, | 창의성, | 협동심, | 성장지향성, | 꼼꼼함, | 스트레스관리, | 자존감, | 적응성, | 계획성",https://www.jobkorea.co.kr/Recruit/GI_Read/48578079?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,"C, C#, C/C++, iOS"
㈜페니엔터테인먼트,,모집분야 디자이너,○명,정규직 | (수습 3개월),,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:30 ~ 18:30,서울 마포구 잔다리로3안길 12 (서교동) 4층 (주)페니엔터테인먼트 | 지도보기,경력무관,학력무관,,"CSS, HTML, Illustrator, Photoshop","계획성, | 성실성, | 스트레스관리, | 창의성, | 협동심",https://www.jobkorea.co.kr/Recruit/GI_Read/48573867?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,"CSS, HTML"
이어닝(yearning),,모집분야 브랜드 마케터,○명,정규직 | (협의),"주임~대리급, 과장~차장급","연봉 4,000~6,000만원 (면접 후 결정)",주5일(월~금) | 10:30 ~ 19:30 | 탄력근무제,"서울 종로구 지봉로 81 (창신동, 브라운스톤 창신) 207호 | 지도보기",신입·경력,학력무관,"인근거주자, 유관업무 경험자(인턴·알바), 엑셀 고급능력 보유자, 문서작성 우수자, 포토샵 능숙자","Google Analytics, Illustrator, Photoshop, Cafe24, EzAdmin","계획성, | 창의성, | 성실성, | 성취지향성, | 꼼꼼함",https://www.jobkorea.co.kr/Recruit/GI_Read/48573473?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,Google Analytics
㈜브랜딩파트너스,,모집분야 디자이너,○명,"정규직 | , | 계약직 | 프리랜서",면접 후 결정,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,"서울 서초구 마방로2길 12 (양재동, 보성빌딩) 4층 | 지도보기",(5년이상),학력무관,시각디자인과,"CSS, HTML, Javascript, Figma, Illustrator, InDesign, Photoshop, 애프터이펙트, 프리미어, Cafe24","꼼꼼함, | 적응성, | 창의성, | 협동심, | 메타인지, | 성장지향성",https://www.jobkorea.co.kr/Recruit/GI_Read/48566454?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,"CSS, HTML, JavaScript"
㈜디자인랩플레어,,모집분야 조명디자이너,1명,정규직 | (수습 3개월),주임~대리급,회사 내규에 따름 (면접 후 결정),"주5일(월~금) | 10:00 ~ 19:00 | 탄력근무제 | 협의에 따라 근무시간 단축, 조정 가능",서울 마포구 와우산로 116-1 (창전동) 2층 | 지도보기,(2년이상),초대졸이상,"인근거주자, 운전가능자, 프리젠테이션 능력우수자, CAD/CAM 프로그램 능숙자, 포토샵 능숙자, 관련 학과 전공자 | 공간디자인전공, 공공디자인전공, 디자인계열","HTML, AutoCAD, Rhino, SketchUp, Illustrator, Photoshop","성장지향성, | 성취지향성, | 자존감, | 적응성, | 메타인지",https://www.jobkorea.co.kr/Recruit/GI_Read/48540663?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,HTML
㈜라이브러리컴퍼니,,모집분야 플랫폼팀 - 백엔드 개발자 채용,1명,"계약직 | (근무기간 3개월, 정규직 전환 가능)","과장~차장급 | 팀장/매니저/실장, 파트장/그룹장",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,"서울 서초구 남부순환로 2469 (서초동, 도요빌딩) | 지도보기",(1년이상),학력무관,,"AWS, Docker, Git, PostgreSQL, Redis, AWS EC2, AWS ECS, Nest.js, RAG",,https://www.jobkorea.co.kr/Recruit/GI_Read/48538089?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,"AWS, Docker, Git, PostgreSQL, Redis, NestJS, RAG"
제이에이치앤,,모집분야 브랜드 상세페이지 및 웹디자인,1명,"정규직 | (수습 3개월) | , | 계약직 | (정규직 전환 가능)","사원급, 주임~대리급 | 팀원",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,서울 동작구 상도로15길 55 (상도동) 미성빌딩 203호 | 지도보기,신입,학력무관,"인근거주자, 컴퓨터활용능력 우수자, MAC(맥킨토시)능숙자, 포토샵 능숙자","HTML, Figma, Illustrator, Photoshop, 웹디자인기능사 자격","성실성, | 꼼꼼함, | 자존감, | 창의성, | 협동심",https://www.jobkorea.co.kr/Recruit/GI_Read/48535608?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,HTML
㈜아츠로,,모집분야 AI 툴을 활용한 마케팅 콘텐츠 기획 및 제작,1명,정규직 | (수습 3개월),"사원급, 주임~대리급 | 팀원","연봉 2,600만원 이상 (면접 후 결정)",주5일(월~금) | 09:30 ~ 18:30 | 탄력근무제,"서울 성북구 보문로 91 (보문동5가, 엠투) 3층 | 지도보기",경력무관,학력무관,,"ChatGPT, Midjourney, Gemini, capcut, Canva, runway, Claude, Sora, DALL, E, Adobe Firefly","성실성, | 꼼꼼함, | 적응성, | 협동심, | 계획성",https://www.jobkorea.co.kr/Recruit/GI_Read/48529998?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,CAN
한국프리미엄브랜드진흥원㈜,,"모집분야 영업, 마케팅, 기획",2명,정규직 | (수습 3개월),면접 후 결정,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:30 ~ 18:30,"서울 강남구 학동로97길 20 (청담동, 성호빌딩) 4층 | 지도보기",신입·경력,초대졸이상,문서작성 우수자,"Google Analytics, 검색시스템",,https://www.jobkorea.co.kr/Recruit/GI_Read/48524390?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,Google Analytics
㈜여밈,,모집분야 온라인 기획MD,1명,정규직,"주임~대리급, 과장~차장급 | 팀원, 팀장/매니저/실장",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 10:00 ~ 19:00,서울 성동구 성수동2가 272-35 202호 | 지도보기,(1년이상),학력무관,"영어가능자, 일본어가능자, 중국어가능자, 인근거주자, 유관업무 경험자(인턴·알바), 리더쉽 소유자, 유관업무 경력자","Google Analytics, Excel, PowerPoint, 워드, Photoshop Express",,https://www.jobkorea.co.kr/Recruit/GI_Read/48478288?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,Google Analytics
㈜여밈,,모집분야 리테일 MD,1명,정규직,"주임~대리급, 과장~차장급 | 팀원, 팀장/매니저/실장",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 10:00 ~ 19:00,서울 성동구 성수동2가 272-35 202호 | 지도보기,(2년이상),학력무관,"영어가능자, 일본어가능자, 중국어가능자, 인근거주자, 유관업무 경험자(인턴·알바), 리더쉽 소유자, 유관업무 경력자","Google Analytics, Excel, PowerPoint, 워드, Photoshop Express",,https://www.jobkorea.co.kr/Recruit/GI_Read/48453943?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,Google Analytics
(주)팀펄,,모집분야 Unity XR 개발자,○명,"계약직 | (근무기간 1년, 정규직 전환 가능)",팀원,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00 | 탄력근무제 | 코어타임 (13:00~17:00) + 주2 재택 가능,"서울 종로구 율곡로 6 (중학동, 트윈트리빌딩) A-16-M | 지도보기",경력무관,학력무관,,"AR, C#, JAVA, Unity, XR, 3D, three.js","성실성, | 성취지향성, | 꼼꼼함, | 적응성, | 창의성, | 협동심, | 성장지향성, | 계획성",https://www.jobkorea.co.kr/Recruit/GI_Read/48423742?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,"C#, Java"
㈜타임리스,,모집분야 timeless 웹 디자이너 모집,○명,정규직 | (수습 3개월),,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,부산 해운대구 달맞이길117번라길 107 (중동) 4층 | 지도보기,(3년이상),대졸이상,"컴퓨터활용능력 우수자, 포토샵 능숙자, 관련 학과 전공자, 유관업무 경력자","HTML, Illustrator, InDesign, Photoshop, CG, UI, UX, after effect",,https://www.jobkorea.co.kr/Recruit/GI_Read/48385341?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,HTML
주식회사 와이씨에프지,,"모집분야 로고,편집,홈페이지 시각디자이너 채용",○명,정규직,"사원급, 주임~대리급, 과장~차장급, 부장급, 면접 후 결정 | 팀원, 팀장/매니저/실장, 파트장/그룹장, 본부장/센터장, 지점장/지사장/원장/국장/공장장",월급 250~400만원,주5일(월~금) | 09:00 ~ 18:00,서울 성동구 성수이로 70 (성수동2가) 1.2층 | 지도보기,,학력무관,,"HTML, Figma, Illustrator, Photoshop","자존감, | 창의성, | 성장지향성, | 메타인지, | 적응성, | 계획성, | 성실성, | 꼼꼼함",https://www.jobkorea.co.kr/Recruit/GI_Read/48364764?rPageCode=SL&logpath=21&sn=6&sc=611,10006,문화예술디자인업,HTML
한국철도공사,,2026년도 상반기 한국철도공사 전문ㆍ경력직 채용,30명,"정규직 | (수습 2개월) | , | 계약직",,회사 내규에 따름,,,신입·경력 | (직무별 상이),학력무관 | (직무별 상이),"국가유공자, 장애인, 취업보호대상자, 보훈대상자","AWS, Azure, C#, GCP, JAVA, Javascript, Kotlin, React, Spring, Linux, Blender, Illustrator, InDesign, Photoshop, AICPA 자격, CCNP 자격, CISA 자격, CISSP 자격, 간호사 면허, 공인노무사 면허",,https://www.jobkorea.co.kr/Recruit/GI_Read/48703023?rPageCode=SL&logpath=21&sn=6&sc=612,10008,기관협회,"AWS, Azure, C#, GCP, Java, JavaScript, Kotlin, React, Spring, Linux"
미래특허법률사무소(상표원),,모집분야 기획 및 편집자,1명,아르바이트 | (근무기간 3개월),사원급,회사 내규에 따름 (면접 후 결정),협의가능,"서울 영등포구 국제금융로 106 (여의도동, 행진빌딩) 431호 | 지도보기",,학력무관,"인근거주자, 유관업무 경력자(1년)","premiere, Canva, after effects",,https://www.jobkorea.co.kr/Recruit/GI_Read/48704064?rPageCode=SL&logpath=21&sn=6&sc=611,10008,기관협회,CAN
㈜테크노베이션파트너스,,모집분야 전산총무,1명,"정규직 | (수습 3개월) | , | 계약직 | (근무기간 1년, 정규직 전환 가능)",주임~대리급 | 팀원,"연봉 3,300~3,400만원 (면접 후 결정)",주5일(월~금) | 09:00 ~ 18:00 | 탄력근무제,"서울 강남구 역삼로 212 (역삼동, 동아빌딩) 4층 | 지도보기",신입·경력,대졸이상 | (졸업예정자 가능),"컴퓨터활용능력 우수자, 운전가능자, 통계분석·리서치 능숙자, 엑셀 고급능력 보유자, 문서작성 우수자","Python, Excel, Microsoft Office, 정보처리기능사 자격, 정보처리기사 자격, 컴퓨터활용능력, ai 활용능력, 바이브 코딩","계획성, | 성실성, | 적응성, | 협동심, | 메타인지",https://www.jobkorea.co.kr/Recruit/GI_Read/48704010?rPageCode=SL&logpath=21&sn=6&sc=611,10008,기관협회,Python
